"iwaid","iwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07","Monitor safety or security of work areas, facilities, or properties.","5.8%","287","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I06","Prescribe medical treatments or devices.","4.9%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11","Maintain safety or security.","4.7%","321","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12","Cut materials.","4.5%","139","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05","Dispose of waste or debris.","4.5%","300","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I01","Administer diagnostic tests to assess patient health.","4.4%","53","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I06","Evaluate patient or client condition or treatment options.","4.2%","206","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I01","Operate office equipment.","4.1%","109","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I10","Operate communications equipment or systems.","3.6%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I09","Maintain medical equipment or instruments.","3.0%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I15","Smooth surfaces of objects or equipment.","2.9%","49","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I08","Maintain vehicles in working condition.","2.7%","55","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I38","Collect environmental or biological samples.","2.3%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I05","Intervene in crisis situations or emergencies.","2.3%","88","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I35","Join parts using soldering, welding, or brazing techniques.","1.5%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I14","Cut trees or other vegetation.","1.2%","49","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I12","Escort others.","1.1%","73","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I09","Clean medical equipment or facilities.","0.4%","104","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I24","Adjust medical equipment to ensure adequate performance.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I03","Advise others on environmental sustainability or green practices.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I09","Advise others on workplace health or safety issues.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I11","Alter audio or video recordings.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I01","Analyze environmental or geospatial data.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I45","Apply decorative finishes.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I09","Assess characteristics or impacts of regulations or policies.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I02","Assess compliance with environmental standards or regulations.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I08","Assist individuals with paperwork.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I02","Assist scientists, scholars, or technical specialists with projects or research.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I14","Climb equipment or structures.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I02","Collect samples of products or materials.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I01","Communicate environmental or sustainability information.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I02","Conduct amusement or gaming activities.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I11","Coordinate group, community, or public activities.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I14","Coordinate regulatory compliance activities.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I13","Design materials or devices.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I11","Design structures or facilities.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I09","Develop financial or business plans.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I10","Develop health assessment methods or programs.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I08","Develop plans for managing or preserving natural resources.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I17","Develop public or community health programs.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23","Develop research plans or methodologies.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I26","Develop scientific or mathematical theories or models.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I15","Direct security or safety activities or operations.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I30","Drill holes in earth or materials.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I26","Embalm corpses.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I25","Engrave objects.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I27","Fabricate devices or components.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I06","Fit assistive devices to patients or clients.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I11","Gather information for news stories.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I31","Groom or style hair.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I44","Hunt animals.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I16","Install energy or heating equipment.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I03","Interpret language, cultural, or religious information for others.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I15","Investigate individuals' background, behavior, or activities.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I10","Investigate the environmental impact of industrial or development activities.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I04","Issue documentation.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I01","Maintain facilities or equipment.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I05","Make legal decisions.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I08","Manage control systems or activities.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I07","Obtain information about goods or services.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I07","Operate energy production or distribution equipment.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I02","Operate pumping systems or equipment.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I01","Plan events or programs.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I13","Prepare industrial materials for processing or use.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I29","Process animal carcasses.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I06","Process forensic or legal evidence.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I02","Protect people or property from threats such as fires or flooding.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I05","Record images with photographic or audiovisual equipment.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I04","Record information about environmental conditions.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I07","Repair vehicle components.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I05","Repair workpieces or products.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I13","Research agricultural processes or practices.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16","Research biological or ecological phenomena.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I19","Research healthcare issues.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I18","Research historical or social issues.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I08","Research issues related to earth sciences.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I02","Serve on organizational committees.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I04","Set up protective structures or coverings near work areas.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I07","Shape materials to create products.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I05","Supervise activities in correctional facilities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I05","Take physical measurements of patients or clients.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I03","Teach safety procedures or standards to others.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I10","Train animals.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I13","Transport patients or clients.","","8","","","","","","","","","","","","","","","","","","","","","",""
