"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I02.D01","Treat patients using psychological therapies.","14.5%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04.D05","Train sales personnel.","14.5%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D14","Supervise patient care personnel.","14.4%","116","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10.D03","Provide counsel, comfort, or encouragement to individuals or families.","14.3%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I02.D01","Order medical diagnostic or clinical tests.","14.3%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10.D03","Transport animals, crops, or equipment.","14.3%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I02.D03","Encourage students.","14.3%","110","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I11.D03","Record vital statistics or other health information.","14.2%","96","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D02","Provide information to coworkers.","14.2%","60","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01.D10","Measure ingredients or substances to be used in production processes.","14.1%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D01","Develop treatment plans for patients or clients.","14.0%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D21","Clean production equipment.","14.0%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D04","Counsel clients regarding educational or vocational issues.","13.9%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D01","Inspect equipment or tools to be used in construction or excavation.","13.9%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I03.D05","Test chemical or physical characteristics of materials or products.","13.8%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D03","Maintain the order of legal documents.","13.8%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I02.D02","Identify potential customers.","13.6%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I14.D03","Obtain personal or financial information about customers or applicants.","13.6%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I08.D04","Decorate indoor or outdoor spaces.","13.5%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I08.D01","Provide legal advice to clients.","13.4%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I10.D02","Maintain records of sales or other business transactions.","13.4%","225","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41.D03","Position structural components.","13.3%","79","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D07","Distribute incoming mail.","13.2%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I06.D03","Replace worn, damaged, or defective mechanical parts.","13.2%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D07","Maintain security.","13.1%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D37","Coordinate operational activities.","13.1%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I11.D01","Maintain client records.","13.1%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D07","Prepare medications or medical solutions.","12.9%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I09.D03","Examine patients to assess general physical condition.","12.8%","77","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I01.D01","Provide health and wellness advice to patients, program participants, or caregivers.","12.8%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02.D02","Sort materials or objects for processing or transport.","12.8%","67","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D03","Distribute materials to employees or customers.","12.7%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D10","Review work orders or schedules to determine operations or procedures.","12.6%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10.D10","Move construction or extraction materials to locations where they are needed.","12.6%","44","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I04.D01","Collect deposits, payments or fees.","12.6%","234","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I01.D03","Discuss goods or services information with customers or patrons.","12.6%","171","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D03","Assist clients in handling details of daily life.","12.5%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I01.D01","Refer customers to appropriate personnel.","12.5%","227","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I08.D02","Set up merchandise displays.","12.4%","155","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10.D01","Intervene in crisis situations to assist clients.","12.4%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D11","Process sales or other transactions.","12.4%","382","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I05.D16","Inspect buildings or grounds to determine condition.","12.4%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D15","Inspect completed work to ensure proper functioning.","12.3%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42.D05","Package materials or products.","12.3%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I20.D01","Install electrical components, equipment, or systems.","12.3%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I04.D02","Confer with other personnel to resolve design or operational problems.","12.3%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D06","Process customer bills or payments.","12.2%","210","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I09.D02","Examine animals to detect illness, injury or other problems.","12.0%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D13","Coordinate activities of food service staff.","11.9%","54","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I01.D01","Teach basic living or other adaptive skills to patients or caregivers.","11.9%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D07","Store items.","11.9%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01.D16","Measure materials or objects for installation or assembly.","11.9%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D01","Order materials, supplies, or equipment.","11.9%","100","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D10","Enforce rules or regulations.","11.9%","54","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I43.D03","Install plumbing or piping.","11.8%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I11.D02","Prepare medical instruments or equipment for use.","11.8%","98","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I06.D03","Analyze test data or images to inform diagnosis or treatment.","11.7%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10.D02","Counsel clients or patients with substance abuse issues.","11.6%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D03","Adjust equipment controls to regulate flow of production materials or products.","11.6%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D20","Record shipping information.","11.5%","53","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I06.D02","Engage patients in exercises or activities.","11.5%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D06","Monitor patients to detect health problems.","11.4%","103","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I06.D02","Document client health or progress.","11.3%","106","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D07","Monitor patient conditions during treatments, procedures, or activities.","11.2%","180","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I05.D04","Verify accuracy of patient information.","11.2%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06.D06","Enter information into databases or software programs.","11.2%","134","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D08","Report maintenance or equipment problems to appropriate personnel.","11.1%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I01.D01","Maintain food, beverage, or equipment inventories.","11.0%","77","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D01","Plan layout of construction, installation, or repairs.","10.9%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02.D04","Record information about suspects or criminals.","10.8%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I04.D01","Confer with others to resolve production problems or equipment malfunctions.","10.8%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I01.D05","Maintain inventories of materials, equipment, or products.","10.7%","74","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D04","Discuss account status or activity with customers or patrons.","10.6%","116","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D01","Record details of deliveries or shipments.","10.6%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I10.D02","Greet customers, patrons, or visitors.","10.5%","593","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I27.D03","Develop plans for programs or services.","10.5%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D02","Read maps to determine routes.","10.5%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I12.D01","Gather medical information from patient histories.","10.5%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D07","Inspect material-moving equipment to detect problems.","10.2%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D12","Prevent unauthorized individuals from entering restricted areas.","10.2%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I05.D01","Instruct workers to use equipment or perform technical procedures.","10.2%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06.D07","Monitor student behavior, social development, or health.","10.2%","290","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11.D03","Adjust positions of patients on beds or tables.","10.2%","114","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I07.D03","Treat medical emergencies.","10.2%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I12.D03","Test electrical equipment or systems to ensure proper functioning.","10.2%","55","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02.D13","Read to students.","10.1%","157","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D03","Inspect finishes of workpieces or finished products.","10.1%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01.D02","Examine documents to verify adherence to requirements.","10.1%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D06","Inspect work to ensure standards are met.","10.1%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D02","Disassemble equipment for maintenance or repair.","10.1%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D16","Supervise sales or support personnel.","10.1%","131","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D04","Follow safety procedures for vehicle operation.","9.7%","84","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D07","Maintain inventory records.","9.7%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I15.D02","Serve food or beverages.","9.6%","107","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10.D08","Move furniture.","9.6%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12.D05","Treat animal injuries or illnesses.","9.6%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D06","Maintain forestry, hunting, or agricultural equipment.","9.6%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I08.D03","Clean tableware.","9.5%","149","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I05.D01","Receive shipments.","9.5%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I04.D01","Inspect motor vehicles.","9.5%","85","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I03.D02","Repair electrical equipment.","9.5%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I01.D01","Review art or design materials.","9.4%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I15.D03","Collect dirty dishes or other tableware.","9.4%","110","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I02.D03","Administer therapy treatments to patients using hands or physical treatment aids.","9.4%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D06","Administer non-intravenous medications.","9.3%","100","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D22","Clean work areas or facilities.","9.3%","79","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01.D06","Estimate costs of goods or services.","9.2%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04.D04","Train personnel.","9.2%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D14","Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.","9.1%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I01.D04","Mark products, workpieces, or equipment with identifying information.","9.1%","55","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I25.D01","Create musical compositions, arrangements or scores.","9.1%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D09","Take customer orders.","9.0%","211","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D03","Select materials or props.","9.0%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I03.D04","Communicate with customers to resolve complaints or ensure satisfaction.","8.9%","196","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D01","Determine metal or plastic production methods.","8.8%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D20","Inspect mechanical equipment to locate damage, defects, or wear.","8.7%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D22","Manage food service operations or parts of operations.","8.7%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D08","Administer intravenous medications.","8.7%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I02.D01","Schedule product or material transportation.","8.6%","47","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I08.D05","Arrange items for use or display.","8.6%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D03","Monitor building premises to ensure occupant or visitor safety.","8.6%","98","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D10","Finish concrete surfaces.","8.6%","72","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D06","Prepare hot or cold beverages.","8.6%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I04.D01","Reconcile records of sales or other financial transactions.","8.5%","160","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D12","Clean facilities or sites.","8.4%","186","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D09","Maintain records, documents, or other files.","8.4%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I05.D04","Explain technical medical information to patients.","8.3%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D02","Monitor clients to evaluate treatment progress.","8.3%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I07.D02","Administer first aid.","8.2%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I23.D06","Interview patients to gather medical information.","8.2%","78","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12.D02","Treat acute illnesses, infections, or injuries.","8.1%","89","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11.D02","Hold patients to ensure proper positioning or safety.","8.0%","119","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01.D09","Measure ingredients.","8.0%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I04.D02","Collect fares or payment from customers.","7.9%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I36.D05","Build construction forms or molds.","7.9%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D03","Mix ingredients.","7.8%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I18.D01","Direct vehicle traffic.","7.7%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D08","Arrange food for serving.","7.5%","68","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I04.D02","Balance receipts.","7.4%","86","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I32.D02","Arrange childcare or educational settings to ensure physical safety of children.","7.4%","69","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I16.D03","Practice athletic or artistic skills.","7.4%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D01","Give medications or immunizations.","7.3%","94","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D11","Answer telephones to direct calls or provide information.","7.2%","234","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10.D05","Deliver items.","7.1%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D07","Operate transportation equipment to demonstrate function or malfunction.","7.1%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D12","Monitor loading processes to ensure they are performed properly.","7.1%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D15","Inspect production equipment.","7.1%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I10.D04","Select equipment, materials, or supplies for cleaning or maintenance activities.","7.0%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I05.D06","Demonstrate activity techniques or equipment use.","7.0%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D04","Clean equipment or supplies.","6.8%","122","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D02","Notify others of equipment repair or maintenance needs.","6.8%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41.D04","Align parts or workpieces to ensure proper assembly.","6.6%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D14","Drive passenger vehicles.","6.6%","49","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D09","Assist patients with daily activities.","6.6%","183","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D03","Perform music for the public.","6.6%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D01","Cut cooked or raw foods.","6.6%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D09","Supervise activities of other legal personnel.","6.6%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D01","Dispose of biomedical waste in accordance with standards.","6.5%","95","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D06","Stock supplies or merchandise.","6.5%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I05.D03","Inspect facilities, equipment or supplies to ensure conformance to standards.","6.5%","113","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D16","Maintain work equipment or machinery.","6.5%","47","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I08.D03","Operate cranes, hoists, or other moving or lifting equipment.","6.5%","55","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D11","Clean building walls or flooring.","6.3%","134","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D02","Clean food preparation areas, facilities, or equipment.","6.1%","215","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I01.D09","Assess equipment functioning.","6.1%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I02.D01","Perform human resources activities.","6.1%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D02","Administer basic health care or medical treatments.","6.1%","120","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I37.D05","Stock serving stations or dining areas with food or supplies.","6.0%","87","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D07","Cook foods.","6.0%","265","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D02","Monitor access or flow of people to prevent problems.","6.0%","42","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D14","Clean machinery or equipment.","6.0%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D11","Prepare foods or meals.","5.9%","129","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01.D04","Review documents or materials for compliance with policies or regulations.","5.9%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13.D04","Confer with customers or users to assess problems.","5.9%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D15","Clean tools or equipment.","5.9%","118","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11.D04","Position patients for treatment or examination.","5.9%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D04","Attend events to develop professional knowledge.","5.8%","44","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I01.D08","Assemble temporary equipment or structures.","5.8%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I02.D01","Sort mail.","5.7%","55","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D13","Clean work sites.","5.7%","58","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D07","Notify others of emergencies, problems, or hazards.","5.6%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D05","Clean work areas.","5.6%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I12.D09","Test electrical circuits or components for proper functioning.","5.6%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D05","Issue money, credit, or vouchers.","5.6%","96","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I23.D07","Interview claimants to get information related to legal proceedings.","5.5%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01.D08","Proofread documents, records, or other files to ensure accuracy.","5.5%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I01.D06","Refer clients to community or social service programs.","5.5%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D03","Clean furniture or fixtures.","5.5%","132","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I05.D06","Monitor cargo area conditions.","5.4%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D02","Maintain production or processing equipment.","5.4%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I10.D08","Assist customers with seating arrangements.","5.4%","77","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D15","Coordinate timing of food production activities.","5.4%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D02","Prepare foods for cooking or serving.","5.3%","101","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I23.D08","Interview clients to gather information about their backgrounds, needs, or progress.","5.3%","60","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D07","Assist individuals with special needs.","5.3%","160","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I01.D01","Install carpet or flooring.","5.3%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I04.D02","Care for animals.","5.2%","44","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D05","Report vehicle or equipment malfunctions.","5.2%","65","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I10.D04","Move materials, equipment, or supplies.","5.2%","79","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I06.D01","Assess physical conditions of patients to aid in diagnosis or treatment.","5.2%","147","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D11","Relay information between personnel.","5.1%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D08","Supervise clerical or administrative personnel.","5.0%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I06.D09","Secure cargo.","5.0%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I12.D08","Conduct test runs of production equipment.","4.9%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D12","Communicate with coworkers to coordinate installations or repairs.","4.9%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I06.D01","Feed materials or products into or through equipment.","4.9%","56","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I01.D05","Prepare chemicals for work application.","4.8%","63","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I06.D03","Prescribe medications.","4.7%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I06.D07","Teach health or hygiene practices.","4.7%","115","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D09","Clean facilities or work areas.","4.6%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I06.D11","Unload materials or equipment.","4.6%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I05.D07","Dispose of trash or waste materials.","4.5%","156","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10.D02","Direct construction or extraction personnel.","4.4%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D05","Discuss problems or issues with supervisors.","4.4%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I11.D05","Maintain medical records.","4.4%","83","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D01","Feed patients.","4.4%","180","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D03","Confer with coworkers to coordinate maintenance or cleaning activities.","4.3%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I01.D02","Schedule dining reservations.","4.1%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I01.D01","Operate office equipment.","4.1%","109","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D24","Remove snow.","4.0%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10.D04","Counsel clients regarding interpersonal issues.","3.9%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D23","Clean food service areas.","3.9%","185","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D07","Immunize patients.","3.8%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D09","Monitor work areas or procedures to ensure compliance with safety procedures.","3.8%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I05.D05","Monitor health or behavior of people or animals.","3.6%","141","","","","","","","","","","","","","","","","","","","","","",""
